title,authors,abstract,doi,year,journal,url,source
Engineering Education in the Era of ChatGPT: Promise and Pitfalls of Generative AI for Education,Junaid Qadir,"Engineering education is constantly evolving to keep up with the latest technological developments and meet the changing needs of the engineering industry. One promising development in this field is the use of generative artificial intelligence technology, such as the ChatGPT conversational agent. ChatGPT has the potential to offer personalized and effective learning experiences by providing students with customized feedback and explanations, as well as creating realistic virtual simulations for hands-on learning. However, it is important to also consider the limitations of this technology. ChatGPT and other generative AI systems are only as good as their training data and may perpetuate biases or even generate and spread misinformation. Additionally, the use of generative AI in education raises ethical concerns such as the potential for unethical or dishonest use by students and the potential unemployment of humans who are made redundant by technology. While the current state of generative AI technology represented by ChatGPT is impressive but flawed, it is only a preview of what is to come. It is important for engineering educators to understand the implications of this technology and study how to adapt the engineering education ecosystem to ensure that the next generation of engineers can take advantage of the benefits offered by generative AI while minimizing any negative consequences.",10.1109/educon54358.2023.10125121,2023,2022 IEEE Global Engineering Education Conference (EDUCON),https://openalex.org/W4377227441,OpenAlex
Unlocking the Power of ChatGPT: A Framework for Applying Generative AI in Education,"Jiahong Su, Weipeng Yang","Purpose Artificial intelligence (AI) chatbots, such as ChatGPT and GPT-4, developed by OpenAI, have the potential to revolutionize education. This study explores the potential benefits and challenges of using ChatGPT in education (or “educative AI”). Design/Approach/Methods This paper proposes a theoretical framework called “IDEE” for educative AI such as using ChatGPT and other generative AI in education, which includes identifying the desired outcomes, determining the appropriate level of automation, ensuring ethical considerations, and evaluating effectiveness. Findings The benefits of using ChatGPT in education or more generally, educative AI, include a more personalized and efficient learning experience for students as well as easier and faster feedback for teachers. However, challenges such as the untested effectiveness of the technology, limitations in the quality of data, and ethical and safety concerns must also be considered. Originality/Value This study explored the opportunities and challenges of using ChatGPT in education within the proposed theoretical framework.",10.1177/20965311231168423,2023,ECNU Review of Education,https://openalex.org/W4366489368,OpenAlex
"Generative AI in Education and Research: Opportunities, Concerns, and Solutions","Eman A. Alasadi, Carlos R. Baiz","In this article, we discuss the role of generative artificial intelligence (AI) in education. The integration of AI in education has sparked a paradigm shift in teaching and learning, presenting both unparalleled opportunities and complex challenges. This paper explores critical aspects of implementing AI in education to advance educational goals, ethical considerations in scientific publications, and the attribution of credit for AI-driven discoveries. We also examine the implications of using AI-generated content in professional activities and describe equity and accessibility concerns. By weaving these key questions into a comprehensive discussion, this article aims to provide a balanced perspective on the responsible and effective use of these technologies in education, highlighting the need for a thoughtful, ethical, and inclusive approach to their integration.",10.1021/acs.jchemed.3c00323,2023,Journal of Chemical Education,https://openalex.org/W4385303098,OpenAlex
Guidance for generative AI in education and research,,,10.54675/ewzm9535,2023,UNESCO eBooks,https://openalex.org/W4395957952,OpenAlex
"Towards social generative AI for education: theory, practices and ethics",Mike Sharples,"This opinion paper explores educational interactions involving humans and artificial intelligences not as sequences of prompts and responses, but as a social process of conversation and exploration. In this conception, learners continually converse with AI language models and other human learners within a dynamic computational medium of internet tools and resources. Learning happens when this distributed human-AI system sets goals, builds meaning from data, consolidates understanding, reconciles differences, and transfers knowledge to new domains. Building social generative AI for education will require development of powerful AI systems that can converse with each other as well as humans, construct external representations such as knowledge maps, access and contribute to internet resources, and act as teachers, learners, guides and mentors. This raises fundamental problems of ethics. Such systems should be aware of their limitations, their responsibility to learners and the integrity of the internet, and their respect for human teachers and experts. We need to consider how to design and constrain social generative AI for education.",10.1080/23735082.2023.2261131,2023,Learning Research and Practice,https://openalex.org/W4388265963,OpenAlex
"Students’ voices on generative AI: perceptions, benefits, and challenges in higher education","Cecilia Ka Yuk Chan, Wenjie Hu","Abstract This study explores university students’ perceptions of generative AI (GenAI) technologies, such as ChatGPT, in higher education, focusing on familiarity, their willingness to engage, potential benefits and challenges, and effective integration. A survey of 399 undergraduate and postgraduate students from various disciplines in Hong Kong revealed a generally positive attitude towards GenAI in teaching and learning. Students recognized the potential for personalized learning support, writing and brainstorming assistance, and research and analysis capabilities. However, concerns about accuracy, privacy, ethical issues, and the impact on personal development, career prospects, and societal values were also expressed. According to John Biggs’ 3P model, student perceptions significantly influence learning approaches and outcomes. By understanding students’ perceptions, educators and policymakers can tailor GenAI technologies to address needs and concerns while promoting effective learning outcomes. Insights from this study can inform policy development around the integration of GenAI technologies into higher education. By understanding students’ perceptions and addressing their concerns, policymakers can create well-informed guidelines and strategies for the responsible and effective implementation of GenAI tools, ultimately enhancing teaching and learning experiences in higher education.",10.1186/s41239-023-00411-8,2023,International Journal of Educational Technology in Higher Education,https://openalex.org/W4384464487,OpenAlex
Education in the Era of Generative Artificial Intelligence (AI): Understanding the Potential Benefits of ChatGPT in Promoting Teaching and Learning,"David Baidoo-Anu, Leticia Owusu Ansah","Since its maiden release into the public domain on November 30, 2022, ChatGPT garnered more than one million subscribers within a week. The generative AI tool ⎼ChatGPT took the world by surprise with it sophisticated capacity to carry out remarkably complex tasks. The extraordinary abilities of ChatGPT to perform complex tasks within the field of education has caused mixed feelings among educators, as this advancement in AI seems to revolutionize existing educational praxis. This is an exploratory study that synthesizes recent extant literature to offer some potential benefits and drawbacks of ChatGPT in promoting teaching and learning. Benefits of ChatGPT include but are not limited to promotion of personalized and interactive learning, generating prompts for formative assessment activities that provide ongoing feedback to inform teaching and learning etc. The paper also highlights some inherent limitations in the ChatGPT such as generating wrong information, biases in data training, which may augment existing biases, privacy issues etc. The study offers recommendations on how ChatGPT could be leveraged to maximize teaching and learning. Policy makers, researchers, educators and technology experts could work together and start conversations on how these evolving generative AI tools could be used safely and constructively to improve education and support students’ learning.",10.61969/jai.1337500,2023,Journal of AI,https://openalex.org/W4389437528,OpenAlex
The promise and challenges of generative AI in education,"Michail N. Giannakos, Roger Azevedo, Peter Brusilovsky, Mutlu Cukurova, Yannis Dimitriadis, Davinia Hernández‐Leo, Sanna Järvelä, Manolis Mavrikis, Bart Rienties","Generative artificial intelligence (GenAI) tools, such as large language models (LLMs), generate natural language and other types of content to perform a wide range of tasks. This represents a significant technological advancement that poses opportunities and challenges to educational research and practice. This commentary brings together contributions from nine experts working in the intersection of learning and technology and presents critical reflections on the opportunities, challenges, and implications related to GenAI technologies in the context of education. In the commentary, it is acknowledged that GenAI's capabilities can enhance some teaching and learning practices, such as learning design, regulation of learning, automated content, feedback, and assessment. Nevertheless, we also highlight its limitations, potential disruptions, ethical consequences, and potential misuses. The identified avenues for further research include the development of new insights into the roles human experts can play, strong and continuous evidence, human-centric design of technology, necessary policy, and support and competence mechanisms. Overall, we concur with the general skeptical optimism about the use of GenAI tools such as LLMs in education. Moreover, we highlight the danger of hastily adopting GenAI tools in education without deep consideration of the efficacy, ecosystem-level implications, ethics, and pedagogical soundness of such practices.",10.1080/0144929x.2024.2394886,2024,Behaviour and Information Technology,https://openalex.org/W4402128637,OpenAlex
A Comprehensive Review on Generative AI for Education,"Uday Mittal, Siva Sai, Vinay Chamola, Devika",,10.1109/access.2024.3468368,2024,IEEE Access,https://openalex.org/W4402892487,OpenAlex
Education in the Era of Generative Artificial Intelligence (AI): Understanding the Potential Benefits of ChatGPT in Promoting Teaching and Learning,"David Baidoo-Anu, Leticia Owusu Ansah","Since its maiden release into the public domain on November 30, 2022, ChatGPT garnered morethan one million subscribers within a week. The generative AI tool ⎼ChatGPT took the world bysurprise with it sophisticated capacity to carry out remarkably complex tasks. The extraordinaryabilities of ChatGPT to perform complex tasks within the field of education has caused mixedfeelings among educators as this advancement in AI seems to revolutionize existing educationalpraxis. This review article synthesizes recent extant literature to offer some potential benefits ofChatGPT in promoting teaching and learning. Benefits of ChatGPT include but are not limited topromotion of personalized and interactive learning, generating prompts for formative assessmentactivities that provide ongoing feedback to inform teaching and learning etc. The paper alsohighlights some inherent limitations in the ChatGPT such as generating wrong information,biases in data training which may augment existing biases, privacy issues etc. The study offersrecommendations on how ChatGPT could be leveraged to maximize teaching and learning.Policy makers, researchers, educators and technology experts could work together and startconversations on how these evolving generative AI tools could be used safely and constructivelyto improve education and support students' learning.",10.2139/ssrn.4337484,2023,SSRN Electronic Journal,https://openalex.org/W4318257512,OpenAlex
