articulo_1,articulo_2,similaridad
AI & Data Competencies: Scaffolding holistic AI literacy in Higher   Education,AI Literacy for All: Adjustable Interdisciplinary Socio-technical   Curriculum,0.753
"Generative AI in Education: A Study of Educators' Awareness, Sentiments,   and Influencing Factors","Generative AI in Education: A Study of Educators' Awareness, Sentiments,
  and Influencing Factors",1.0
Generative AI and Its Educational Implications,Advancing Transformative Education: Generative AI as a Catalyst for   Equity and Innovation,0.76
Generative AI and Its Educational Implications,"A Review of Generative AI in Computer Science Education: Challenges and   Opportunities in Accuracy, Authenticity, and Assessment",0.753
Generative AI and Its Educational Implications,Empowering Education through Generative AI: Innovative Instructional Strategies for Tomorrow's Learners,0.783
Generative AI and Its Educational Implications,Generative AI in Education: Best Practices for Successful Implementation,0.756
Generative AI and Its Educational Implications,Integrating Generative AI in Education to Achieve Sustainable Development Goals,0.762
"A principled way to think about AI in education: guidance for action   based on goals, models of human learning, and use of technologies",Challenges for higher education in the era of widespread access to generative AI,0.771
"A principled way to think about AI in education: guidance for action   based on goals, models of human learning, and use of technologies",Reconceptualizing ChatGPT and generative AI as a student-driven innovation in higher education,0.779
"A principled way to think about AI in education: guidance for action   based on goals, models of human learning, and use of technologies",Integrating Generative AI in Education to Achieve Sustainable Development Goals,0.775
"Responsible Adoption of Generative AI in Higher Education: Developing a   ""Points to Consider"" Approach Based on Faculty Perspectives",Challenges for higher education in the era of widespread access to generative AI,0.763
Exploring the Applications of Generative AI in High School STEM   Education,Generative AI and ChatGPT in School Children’s Education: Evidence from a School Lesson,0.761
"Designing AI Learning Experiences for K-12: Emerging Works, Future   Opportunities and a Design Framework","""From Unseen Needs to Classroom Solutions"": Exploring AI Literacy   Challenges & Opportunities with Project-based Learning Toolkit in K-12   Education",0.818
Advancing Transformative Education: Generative AI as a Catalyst for   Equity and Innovation,"Generative AI in Education and Research: Opportunities, Concerns, and Solutions",0.798
Advancing Transformative Education: Generative AI as a Catalyst for   Equity and Innovation,Generative AI in Education: Best Practices for Successful Implementation,0.788
"A Review of Generative AI in Computer Science Education: Challenges and   Opportunities in Accuracy, Authenticity, and Assessment",Computer Science Education in the Age of Generative AI,0.779
Student Perspectives on the Benefits and Risks of AI in Education,Unlocking the Power of ChatGPT: A Framework for Applying Generative AI in Education,0.771
Computer Science Education in the Age of Generative AI,"Teaching with AI: A Systematic Review of Chatbots, Generative Tools, and   Tutoring Systems in Programming Education",0.779
Unlocking the Power of ChatGPT: A Framework for Applying Generative AI in Education,Education in the Era of Generative Artificial Intelligence (AI): Understanding the Potential Benefits of ChatGPT in Promoting Teaching and Learning,0.821
